zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
93724,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93725,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93726,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93727,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93728,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93729,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93730,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93737,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93740,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93741,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93744,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93745,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93760,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93764,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93765,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93771,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93772,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93776,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93778,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93790,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93792,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93203,Kern,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
